field_id,value_type
22141,Categorical (single)
22146,Integer
22147,Integer
22148,Integer
22149,Integer
22150,Integer
22151,Integer
22152,Integer
22153,Integer
22154,Integer
22155,Integer
22156,Integer
22157,Integer
22158,Integer
22159,Integer
22160,Integer
22161,Integer
22166,Categorical (single)
22167,Categorical (single)
22168,Categorical (single)
22169,Categorical (single)
22170,Categorical (single)
22171,Categorical (single)
22172,Categorical (single)
22173,Categorical (single)
22174,Categorical (single)
22175,Categorical (single)
22176,Categorical (single)
22177,Categorical (single)
22178,Categorical (single)
22179,Categorical (single)
22180,Categorical (single)
22181,Categorical (single)
22200,Integer
22330,Integer
22331,Integer
22332,Integer
22333,Integer
22334,Integer
22335,Integer
22336,Integer
22337,Integer
22338,Integer
22502,Categorical (single)
22503,Integer
22504,Categorical (single)
22505,Integer
22506,Categorical (single)
22507,Integer
22508,Integer
22599,Integer
22601,Categorical (single)
22602,Integer
22603,Integer
22604,Categorical (single)
22605,Continuous
22606,Categorical (single)
22607,Categorical (single)
22608,Categorical (single)
22609,Categorical (single)
22610,Categorical (single)
22611,Categorical (single)
22612,Categorical (single)
22613,Categorical (single)
22614,Categorical (single)
22615,Categorical (single)
22616,Categorical (single)
22617,Categorical (single)
22618,Categorical (single)
22619,Categorical (single)
22620,Categorical (single)
22630,Categorical (single)
22631,Continuous
22640,Categorical (single)
22641,Continuous
22642,Integer
22643,Integer
22644,Integer
22645,Integer
22650,Categorical (single)
22651,Continuous
22652,Integer
22653,Integer
22654,Integer
22655,Integer
22660,Categorical (single)
22661,Integer
22663,Integer
22664,Integer
23000,Integer
23001,Integer
23002,Integer
23003,Integer
23004,Integer
23005,Integer
23006,Integer
23007,Integer
23008,Integer
23009,Integer
23010,Integer
23011,Integer
23012,Integer
23013,Integer
23014,Integer
23015,Integer
23016,Integer
23017,Integer
23018,Integer
23019,Integer
23020,Integer
23021,Integer
23022,Integer
23023,Integer
23024,Integer
23025,Integer
23026,Integer
23027,Integer
23028,Integer
23029,Integer
23030,Integer
23031,Integer
23032,Integer
23033,Integer
23034,Integer
23035,Integer
23036,Integer
23037,Integer
23038,Integer
23039,Integer
23040,Integer
23041,Integer
23042,Integer
23043,Integer
23044,Integer
23049,Categorical (single)
23050,Categorical (single)
23051,Categorical (single)
23052,Categorical (single)
23053,Categorical (single)
23054,Categorical (single)
23055,Categorical (single)
23056,Categorical (single)
23057,Categorical (single)
23058,Categorical (single)
23059,Categorical (single)
23060,Categorical (single)
23061,Categorical (single)
23062,Categorical (single)
23063,Categorical (single)
23064,Categorical (single)
23065,Categorical (single)
23066,Categorical (single)
23067,Categorical (single)
23068,Categorical (single)
23069,Categorical (single)
23070,Categorical (single)
23071,Categorical (single)
23073,Categorical (single)
23074,Categorical (single)
23075,Categorical (single)
23098,Continuous
23099,Continuous
23100,Continuous
23101,Continuous
23102,Continuous
23104,Continuous
23105,Continuous
23106,Continuous
23107,Continuous
23108,Continuous
23109,Continuous
23110,Continuous
23111,Continuous
23112,Continuous
23113,Continuous
23114,Continuous
23115,Continuous
23116,Continuous
23117,Continuous
23118,Continuous
23119,Continuous
23120,Continuous
23121,Continuous
23122,Continuous
23123,Continuous
23124,Continuous
23125,Continuous
23126,Continuous
23127,Continuous
23128,Continuous
23129,Continuous
23130,Continuous
30000,Continuous
30001,Integer
30004,Categorical (single)
30010,Continuous
30011,Integer
30014,Categorical (single)
30020,Continuous
30021,Integer
