cat
100092
2002
100044
100045
100012
104
100038
100048
100039
100009
130
132
18518
9081
100081
17518
51428
1307
100057
100058
100052
100051
100034
153
100098
100042
100074
100075
100010
2416
100045
141
100010
100109
